index,pf_size,geno_size,canon_size,red_dup,red_sim,red_total
300,82,65,56,0.20731707317073167,0.1384615384615384,0.31707317073170727
301,66,59,54,0.10606060606060608,0.0847457627118644,0.18181818181818177
302,66,61,51,0.0757575757575758,0.16393442622950816,0.2272727272727273
303,82,78,63,0.04878048780487809,0.1923076923076923,0.23170731707317072
304,73,67,61,0.0821917808219178,0.08955223880597019,0.1643835616438356
305,73,70,64,0.04109589041095896,0.08571428571428574,0.12328767123287676
306,73,67,58,0.0821917808219178,0.13432835820895528,0.20547945205479456
307,683,502,174,0.2650073206442167,0.6533864541832669,0.7452415812591509
308,548,265,107,0.5164233576642336,0.5962264150943396,0.8047445255474452
309,208,142,115,0.3173076923076923,0.1901408450704225,0.4471153846153846
310,548,316,133,0.4233576642335767,0.5791139240506329,0.7572992700729927
311,548,282,138,0.4854014598540146,0.5106382978723405,0.7481751824817517
312,208,128,101,0.3846153846153846,0.2109375,0.5144230769230769
313,786,641,181,0.18447837150127222,0.717628705148206,0.7697201017811705
314,920,751,252,0.18369565217391304,0.6644474034620507,0.7260869565217392
315,786,605,257,0.23027989821882955,0.5752066115702479,0.6730279898218829
316,786,512,156,0.34860050890585237,0.6953125,0.8015267175572519
317,920,585,257,0.36413043478260865,0.5606837606837607,0.7206521739130435
318,311,236,161,0.2411575562700965,0.31779661016949157,0.4823151125401929
319,445,266,141,0.40224719101123596,0.4699248120300752,0.6831460674157304
320,311,212,120,0.31832797427652737,0.4339622641509434,0.6141479099678457
321,311,260,137,0.16398713826366562,0.47307692307692306,0.5594855305466238
322,445,364,148,0.18202247191011234,0.5934065934065934,0.6674157303370787
323,429,293,160,0.31701631701631705,0.4539249146757679,0.627039627039627
324,326,204,105,0.3742331288343558,0.4852941176470589,0.6779141104294479
325,429,224,111,0.4778554778554779,0.5044642857142857,0.7412587412587412
326,429,311,186,0.27505827505827507,0.40192926045016075,0.5664335664335665
327,326,235,119,0.2791411042944786,0.4936170212765958,0.6349693251533742
328,904,606,252,0.32964601769911506,0.5841584158415842,0.7212389380530974
329,801,567,242,0.2921348314606742,0.5731922398589065,0.6978776529338326
330,904,612,234,0.32300884955752207,0.6176470588235294,0.7411504424778761
331,904,558,282,0.3827433628318584,0.4946236559139785,0.6880530973451328
332,801,479,252,0.4019975031210986,0.47390396659707723,0.6853932584269663
333,667,344,154,0.4842578710644677,0.5523255813953488,0.7691154422788605
334,89,63,56,0.2921348314606742,0.11111111111111116,0.3707865168539326
335,667,442,185,0.3373313343328336,0.5814479638009049,0.7226386806596702
336,667,441,163,0.33883058470764615,0.6303854875283447,0.7556221889055472
337,89,81,76,0.0898876404494382,0.06172839506172845,0.1460674157303371
338,192,156,93,0.1875,0.40384615384615385,0.515625
339,564,447,205,0.20744680851063835,0.5413870246085011,0.6365248226950355
340,192,156,88,0.1875,0.4358974358974359,0.5416666666666667
341,192,159,98,0.171875,0.3836477987421384,0.48958333333333337
